language,cls_name,choice_method,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
english,cosine_001,random,1.0,500,500,8079,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,8065,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,7362,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,6247,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,5441,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,4883,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,4491,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,4222,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,4027,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,random,1.0,500,500,3871,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_025,random,1.0,500,500,8079,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,random,1.0,500,500,8079,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,random,1.0,500,500,8067,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,random,1.0,500,500,7718,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,random,1.0,500,500,6771,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421
english,cosine_025,random,1.0,500,500,6122,0.6486486486486487,0.5714285714285714,0.75,0.6486486486486486
english,cosine_025,random,1.0,500,500,5713,0.6486486486486487,0.5714285714285714,0.75,0.6486486486486486
english,cosine_025,random,1.0,500,500,5409,0.6486486486486487,0.5714285714285714,0.75,0.6486486486486486
english,cosine_025,random,1.0,500,500,5204,0.6486486486486487,0.5714285714285714,0.75,0.6486486486486486
