language,cls_name,r,n_pos,n_neg,n_landmarks,accuracy,precision,recall,f1
english,cosine_001,1,200,200,951,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,123,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,120,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,223,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,483,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,936,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,1397,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,1858,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,2310,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,200,2684,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,4415,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,5357,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,5891,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6210,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6379,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6466,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6519,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6520,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6530,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,700,6518,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,6694,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,6864,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,6961,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7042,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7090,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7138,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7170,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7184,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7185,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1200,7189,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7257,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7319,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7354,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7379,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7396,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7403,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7407,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7414,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7417,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,1700,7416,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7473,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7512,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7527,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7530,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7531,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7534,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7536,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7535,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7533,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2200,7533,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7555,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7572,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7592,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7595,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7602,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7602,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7606,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7606,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7607,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,2700,7605,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7614,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7631,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7641,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7658,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7661,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7666,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7660,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7664,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7664,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3200,7665,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7696,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7707,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7718,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7744,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7752,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7758,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7757,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7760,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7761,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,3700,7762,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7765,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7767,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7766,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7767,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7768,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7768,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7769,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7769,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7768,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4200,7769,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7770,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,200,4700,7773,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,6630,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,6076,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,5664,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,5379,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,5101,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,4825,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,4602,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,4397,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,4143,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,200,3972,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4243,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4443,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4576,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4674,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4769,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4828,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4887,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4955,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,4993,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,700,5015,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5176,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5291,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5400,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5469,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5552,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5612,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5672,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5723,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5756,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1200,5787,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,5861,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,5920,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,5967,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6024,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6074,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6105,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6133,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6155,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6168,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,1700,6179,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6234,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6269,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6321,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6338,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6354,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6376,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6380,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6400,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6408,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2200,6414,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6451,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6479,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6497,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6507,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6516,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6524,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6540,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6548,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6545,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,2700,6555,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6608,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6648,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6666,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6721,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6755,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6777,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6803,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6816,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6823,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3200,6820,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6836,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6852,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6864,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6873,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6880,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6886,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6891,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6898,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6905,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,3700,6899,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6909,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6915,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6921,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6924,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6931,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6929,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6932,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6930,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6931,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4200,6931,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6936,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6945,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6949,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6952,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6954,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6961,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6967,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6971,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6972,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,700,4700,6979,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,6465,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,5856,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,5421,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,5046,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,4700,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,4442,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,4214,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,4057,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,3932,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,200,3839,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4048,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4203,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4311,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4410,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4460,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4500,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4559,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4623,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4656,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,700,4689,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,4851,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,4975,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5100,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5190,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5256,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5325,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5370,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5427,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5449,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1200,5481,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5579,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5652,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5719,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5739,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5757,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5766,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5778,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5780,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5790,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,1700,5797,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,5857,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,5888,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,5920,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,5949,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,5984,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,6017,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,6048,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,6062,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,6073,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
english,cosine_001,1,1200,2200,6073,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604
