dataset,normalized,r,n_pos,n_neg,choice_method,alignment,cls,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421,11,10,4,12
semeval_english,True,0.0,500,500,random,s4a,cosine_025,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_025,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421,11,10,4,12
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.5945945945945946,0.5217391304347826,0.75,0.6153846153846153,10,11,4,12
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.4864864864864865,0.45454545454545453,0.9375,0.6122448979591837,3,18,1,15
semeval_english,True,0.0,500,500,random,s4a,cosine_025,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.5945945945945946,0.5172413793103449,0.9375,0.6666666666666667,7,14,1,15
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421,11,10,4,12
semeval_english,True,0.0,500,500,random,s4a,cosine_025,0.6216216216216216,0.5454545454545454,0.75,0.631578947368421,11,10,4,12
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6216216216216216,0.625,0.3125,0.4166666666666667,18,3,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_050,0.6486486486486487,0.7142857142857143,0.3125,0.43478260869565216,19,2,11,5
semeval_english,True,0.0,500,500,random,s4a,cosine_075,0.5945945945945946,1.0,0.0625,0.11764705882352941,21,0,15,1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,-1,-1,-1,-1,-1,-1,-1,-1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,0.5945945945945946,1.0,0.0625,0.11764705882352941,21,0,15,1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,0.5945945945945946,1.0,0.0625,0.11764705882352941,21,0,15,1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,0.5945945945945946,1.0,0.0625,0.11764705882352941,21,0,15,1
semeval_english,True,0.0,500,500,random,s4a,cosine_075,0.5945945945945946,1.0,0.0625,0.11764705882352941,21,0,15,1
