colour color
flavour flavor
humour humor
labour labor
neighbour neighbor
apologise apologize
organise organize
recognise recognize
analyse analyze
breathalyse breathalyze
paralyse paralyze
travel travel
travelled traveled
travelling traveling
traveller traveler
leukaemia leukemia
manoeuvre maneuver
oestrogen estrogen
paediatric pediatric
defence defense
licence license
offence offense
pretence pretense
analogue analog
catalogue catalog
dialogue dialog
trainers sneakers
pullover sweater
waistcoat vest
braces suspenders
bonnet hood
boot trunk
petrol gas
football soccer
pitch field
draw tie
kit uniform
motorway highway
pavement sidewalk
lorry truck
flat apartment
lift elevator
courgette zucchini
aubergine eggplant
sweets candy
treacle molasses
underground subway
queue line
nappy diaper
dummy pacifier
loo restroom
telly tv
torch flashlight
mobile cellphone
rubbish garbage
takeaway takeout
timetable schedule
rubber eraser
post mail
aeroplane airplane
cheque check
theatre theater
grey gray
behaviour behavior
favourite favorite
rumour rumor
autumn fall
