word,global,noise-aware,self,top,bot
new_york,14.947,13.488,15.809,0.000,0.000
well_known,1.736,2.094,0.920,0.000,0.000
international_journal,2.288,2.252,2.283,0.000,0.000
probability_distribution,0.584,0.663,0.455,0.000,0.000
point_view,0.668,0.830,0.606,0.000,0.000
taking_account,2.259,2.449,2.030,0.000,0.000
http_www,3.495,3.578,3.513,0.000,0.000
quantum_mechanics,2.369,3.084,1.817,0.000,0.000
experimental_data,2.127,2.168,1.673,0.000,0.000
ieee_trans,2.833,3.101,3.021,0.000,0.000
springer_berlin,2.251,2.207,2.217,0.000,0.000
cambridge_university,0.461,0.459,0.187,0.000,0.000
right_hand,5.548,5.332,6.155,0.000,0.000
vice_versa,0.608,0.638,0.626,0.000,0.000
springer_verlag,0.322,0.261,0.270,0.000,0.000
necessary_sufficient,0.625,0.544,0.858,0.000,0.000
real_numbers,0.363,0.361,0.353,0.000,0.000
gives_rise,0.457,0.437,0.304,0.000,0.000
question_whether,0.098,0.119,0.085,0.000,0.000
applied_mathematics,0.514,0.454,0.535,0.000,0.000
even_though,0.047,0.046,0.071,0.000,0.000
oxford_university,0.609,0.606,0.565,0.000,0.000
take_account,0.321,0.383,0.306,0.000,0.000
university_press,1.088,1.173,1.030,0.000,0.000
http_doi,1.844,1.832,1.921,0.000,0.000
positive_negative,0.626,0.611,0.589,0.000,0.000
give_rise,0.111,0.108,0.062,0.000,0.000
arxiv_org,0.814,0.868,0.766,0.000,0.000
left_hand,1.687,1.599,1.972,0.000,0.000
prentice_hall,0.820,0.787,0.848,0.000,0.000
self_similar,0.308,0.356,0.182,0.000,0.000
press_cambridge,0.709,0.684,0.665,0.000,0.000
addison_wesley,4.457,4.249,4.412,0.000,0.000
theoretical_physics,1.675,1.781,1.563,0.000,0.000
play_role,0.353,0.310,0.202,0.000,0.000
mcgraw_hill,0.288,0.279,0.322,0.000,0.000
cambridge_cambridge,0.483,0.537,0.448,0.000,0.000
