word,global,noise-aware,self,top,bot
patient,109.443,106.881,154.767,0.000,0.000
cell,210.364,211.164,152.804,0.000,0.000
study,131.268,129.714,106.765,0.000,0.000
virus,187.207,184.350,181.633,0.000,0.000
infection,154.824,151.517,178.452,0.000,0.000
also,57.671,56.293,86.804,0.000,0.000
disease,112.396,114.077,195.445,0.000,0.000
may,112.695,109.453,248.374,0.000,0.000
protein,217.459,214.522,166.588,0.000,0.000
case,148.833,148.226,186.594,0.000,0.000
data,113.747,111.016,92.564,0.000,0.000
using,127.107,126.963,171.053,0.000,0.000
result,138.235,134.194,176.022,0.000,0.000
used,103.818,104.049,203.747,0.000,0.000
time,99.385,100.397,164.868,0.000,0.000
one,68.408,68.367,107.429,0.000,0.000
group,135.701,135.416,117.682,0.000,0.000
model,166.328,165.328,133.147,0.000,0.000
number,107.417,104.877,195.464,0.000,0.000
viral,158.739,156.929,153.581,0.000,0.000
level,132.325,129.844,181.592,0.000,0.000
health,132.754,133.035,193.728,0.000,0.000
two,85.171,84.386,128.983,0.000,0.000
day,119.442,119.609,170.554,0.000,0.000
however,44.927,43.252,69.425,0.000,0.000
human,144.464,143.970,192.418,0.000,0.000
analysis,136.597,132.763,116.229,0.000,0.000
system,90.594,88.063,168.007,0.000,0.000
treatment,115.895,114.220,166.851,0.000,0.000
effect,194.879,186.255,290.994,0.000,0.000
fig,116.769,116.827,115.732,0.000,0.000
response,172.776,173.947,221.751,0.000,0.000
different,87.161,85.336,173.213,0.000,0.000
clinical,145.310,142.963,191.704,0.000,0.000
risk,146.040,148.784,263.773,0.000,0.000
sample,147.456,147.399,166.035,0.000,0.000
control,169.351,168.303,262.809,0.000,0.000
use,76.813,76.250,171.833,0.000,0.000
rate,131.275,132.471,231.943,0.000,0.000
gene,193.676,195.538,162.448,0.000,0.000
method,110.038,109.172,151.186,0.000,0.000
could,110.556,110.687,230.978,0.000,0.000
figure,212.934,212.190,154.079,0.000,0.000
high,111.741,109.478,230.647,0.000,0.000
first,59.841,60.566,111.068,0.000,0.000
reported,108.538,107.959,136.136,0.000,0.000
activity,145.525,141.735,190.016,0.000,0.000
respiratory,231.205,231.765,268.564,0.000,0.000
found,107.436,105.238,144.344,0.000,0.000
table,188.149,189.003,226.731,0.000,0.000
factor,172.002,172.142,249.757,0.000,0.000
well,90.529,88.466,132.517,0.000,0.000
year,114.598,112.930,213.187,0.000,0.000
population,118.835,118.443,187.011,0.000,0.000
associated,130.390,131.399,178.753,0.000,0.000
including,66.844,65.133,120.163,0.000,0.000
test,141.061,140.584,198.207,0.000,0.000
expression,294.843,289.997,219.677,0.000,0.000
antibody,232.003,232.095,228.692,0.000,0.000
2020,162.753,164.146,161.660,0.000,0.000
mouse,281.999,282.109,252.179,0.000,0.000
rna,188.809,188.843,181.279,0.000,0.000
value,132.823,132.052,165.508,0.000,0.000
shown,152.642,145.844,167.351,0.000,0.000
sequence,197.672,197.988,165.548,0.000,0.000
individual,134.802,134.788,160.483,0.000,0.000
based,91.133,90.713,180.570,0.000,0.000
type,110.631,114.172,134.421,0.000,0.000
compared,126.160,125.578,151.957,0.000,0.000
change,106.380,104.771,168.652,0.000,0.000
due,121.045,120.280,202.200,0.000,0.000
infected,144.833,142.273,186.437,0.000,0.000
new,85.402,86.586,100.024,0.000,0.000
increased,116.652,116.153,221.855,0.000,0.000
significant,114.728,113.331,217.645,0.000,0.000
higher,133.060,130.035,267.061,0.000,0.000
care,158.515,158.330,286.632,0.000,0.000
within,79.907,78.078,132.770,0.000,0.000
increase,101.296,102.866,204.686,0.000,0.000
observed,130.278,128.080,118.295,0.000,0.000
positive,161.074,161.123,216.462,0.000,0.000
important,73.279,72.678,180.186,0.000,0.000
three,75.209,73.572,107.073,0.000,0.000
many,81.578,81.150,146.830,0.000,0.000
function,154.023,154.453,179.153,0.000,0.000
severe,120.325,116.756,186.753,0.000,0.000
among,106.153,105.305,154.876,0.000,0.000
performed,149.377,145.825,191.921,0.000,0.000
vaccine,244.249,247.605,270.682,0.000,0.000
showed,164.849,160.441,131.306,0.000,0.000
available,94.147,92.320,201.424,0.000,0.000
present,82.689,81.079,107.447,0.000,0.000
age,153.564,156.150,251.741,0.000,0.000
information,105.898,107.257,187.682,0.000,0.000
hospital,100.076,99.551,168.315,0.000,0.000
role,181.581,180.095,332.203,0.000,0.000
country,147.438,145.543,197.446,0.000,0.000
symptom,220.286,218.609,227.195,0.000,0.000
lung,172.728,168.790,222.326,0.000,0.000
potential,81.213,79.121,122.930,0.000,0.000
blood,172.914,172.915,249.806,0.000,0.000
region,119.827,121.988,98.533,0.000,0.000
although,71.218,68.577,106.831,0.000,0.000
would,128.577,125.731,245.966,0.000,0.000
animal,123.309,122.411,163.013,0.000,0.000
research,98.144,97.169,115.424,0.000,0.000
process,77.250,77.566,117.294,0.000,0.000
specific,68.751,67.853,107.428,0.000,0.000
pandemic,167.619,167.721,180.876,0.000,0.000
child,122.579,121.710,182.009,0.000,0.000
influenza,141.654,142.401,135.471,0.000,0.000
difference,176.305,173.306,260.937,0.000,0.000
similar,91.388,91.747,145.089,0.000,0.000
following,69.892,70.026,108.024,0.000,0.000
state,134.680,135.490,183.946,0.000,0.000
mean,157.759,158.855,181.564,0.000,0.000
several,82.497,81.844,145.280,0.000,0.000
need,91.027,87.797,179.160,0.000,0.000
immune,234.145,232.996,289.941,0.000,0.000
drug,128.362,127.877,200.063,0.000,0.000
thus,63.080,63.285,81.040,0.000,0.000
le,193.330,194.144,194.946,0.000,0.000
total,88.844,89.784,118.597,0.000,0.000
approach,95.165,92.697,145.390,0.000,0.000
strain,207.831,205.869,177.278,0.000,0.000
condition,132.684,134.699,190.291,0.000,0.000
therefore,63.518,63.306,75.198,0.000,0.000
show,154.525,155.943,175.473,0.000,0.000
host,229.886,230.765,182.271,0.000,0.000
without,77.660,75.789,149.199,0.000,0.000
development,114.771,115.364,147.939,0.000,0.000
acute,131.936,131.174,152.614,0.000,0.000
acid,228.964,225.332,224.263,0.000,0.000
structure,139.119,137.683,172.037,0.000,0.000
assay,229.703,230.875,228.158,0.000,0.000
addition,75.874,74.579,81.872,0.000,0.000
period,129.462,129.288,189.246,0.000,0.000
low,93.497,92.493,189.116,0.000,0.000
identified,115.177,113.218,153.259,0.000,0.000
site,144.897,143.159,158.590,0.000,0.000
outbreak,153.624,153.831,186.328,0.000,0.000
area,83.408,83.691,109.024,0.000,0.000
death,174.670,173.759,216.283,0.000,0.000
transmission,303.091,299.738,354.256,0.000,0.000
cause,110.409,111.741,183.685,0.000,0.000
significantly,153.133,153.113,171.282,0.000,0.000
example,75.707,76.784,100.265,0.000,0.000
respectively,81.826,80.484,78.514,0.000,0.000
described,114.671,112.759,98.107,0.000,0.000
work,85.484,85.184,117.870,0.000,0.000
lower,88.869,86.691,186.744,0.000,0.000
public,124.791,123.280,214.638,0.000,0.000
measure,158.582,155.570,210.312,0.000,0.000
concentration,256.757,253.144,208.323,0.000,0.000
therapy,184.637,182.687,238.620,0.000,0.000
interaction,124.005,125.576,115.383,0.000,0.000
people,123.575,122.089,246.630,0.000,0.000
since,137.349,134.193,182.933,0.000,0.000
given,73.554,74.055,116.819,0.000,0.000
tissue,145.811,146.309,167.379,0.000,0.000
possible,70.773,70.804,125.800,0.000,0.000
receptor,198.291,198.884,193.444,0.000,0.000
finding,209.732,210.456,229.590,0.000,0.000
medical,68.357,68.771,137.494,0.000,0.000
early,107.715,107.961,201.034,0.000,0.000
