word,global,noise-aware,self,top,bot
the,44.255,46.597,43.136,0.000,0.000
of,47.490,47.232,55.713,0.000,0.000
and,41.977,40.888,47.459,0.000,0.000
in,82.024,82.218,99.785,0.000,0.000
to,90.502,90.923,84.828,0.000,0.000
a,65.756,66.485,77.535,0.000,0.000
with,98.965,97.990,121.944,0.000,0.000
is,139.384,134.329,136.980,0.000,0.000
for,75.170,77.811,73.423,0.000,0.000
that,154.494,156.126,144.614,0.000,0.000
was,231.214,229.704,260.198,0.000,0.000
as,113.089,113.739,161.940,0.000,0.000
were,213.449,210.734,257.278,0.000,0.000
by,140.957,137.123,181.237,0.000,0.000
are,155.997,150.677,150.705,0.000,0.000
be,163.679,164.426,164.783,0.000,0.000
on,127.968,125.305,164.571,0.000,0.000
from,115.815,112.668,157.603,0.000,0.000
or,80.733,78.916,99.017,0.000,0.000
at,131.203,125.099,181.598,0.000,0.000
this,132.733,132.392,127.021,0.000,0.000
an,112.157,111.225,100.250,0.000,0.000
not,162.871,158.741,156.605,0.000,0.000
have,192.764,190.060,258.856,0.000,0.000
et,340.767,340.982,351.986,0.000,0.000
which,147.510,144.740,144.987,0.000,0.000
patients,335.676,335.160,355.105,0.000,0.000
has,288.100,279.943,378.065,0.000,0.000
can,230.313,229.357,218.905,0.000,0.000
been,346.058,343.390,388.749,0.000,0.000
we,355.855,355.499,345.200,0.000,0.000
also,77.129,76.952,73.389,0.000,0.000
may,288.879,283.342,277.243,0.000,0.000
these,111.193,113.924,108.021,0.000,0.000
2,107.476,105.050,183.551,0.000,0.000
it,187.560,184.113,225.662,0.000,0.000
cells,467.003,472.998,476.017,0.000,0.000
1,107.480,105.932,186.814,0.000,0.000
between,172.449,169.254,267.345,0.000,0.000
more,137.735,137.251,125.966,0.000,0.000
other,90.390,87.762,78.896,0.000,0.000
using,234.466,228.959,251.719,0.000,0.000
their,107.897,104.019,102.286,0.000,0.000
than,218.667,216.831,323.830,0.000,0.000
used,255.296,254.730,256.241,0.000,0.000
virus,283.137,284.295,283.921,0.000,0.000
but,188.462,186.142,236.421,0.000,0.000
such,163.465,161.397,156.512,0.000,0.000
all,107.030,105.630,106.089,0.000,0.000
study,263.388,260.691,311.110,0.000,0.000
data,172.059,171.798,164.790,0.000,0.000
infection,293.130,296.025,298.174,0.000,0.000
