word,global,noise-aware,self,top,bot
set,23.593,23.210,17.435,0.000,0.000
one,8.670,8.696,7.666,0.000,0.000
problem,19.201,20.077,14.154,0.000,0.000
let,12.900,13.023,13.261,0.000,0.000
two,7.103,7.200,6.575,0.000,0.000
model,15.314,14.548,25.374,0.000,0.000
case,13.305,13.459,14.603,0.000,0.000
based,8.218,7.915,8.956,0.000,0.000
theory,29.814,29.133,48.537,0.000,0.000
also,4.103,4.092,5.399,0.000,0.000
sets,17.081,16.617,10.721,0.000,0.000
following,8.645,8.617,9.827,0.000,0.000
problems,15.073,16.250,15.184,0.000,0.000
number,23.573,24.630,17.751,0.000,0.000
time,23.054,22.648,13.767,0.000,0.000
example,8.648,8.553,10.212,0.000,0.000
non,14.820,14.693,13.022,0.000,0.000
given,11.435,10.894,10.282,0.000,0.000
information,13.612,14.774,15.400,0.000,0.000
first,8.966,8.980,7.645,0.000,0.000
function,13.361,12.718,13.147,0.000,0.000
probability,29.485,29.784,22.643,0.000,0.000
new,14.256,14.297,17.574,0.000,0.000
system,25.272,22.096,37.130,0.000,0.000
quantum,43.435,69.886,74.216,0.000,0.000
since,9.502,9.703,9.910,0.000,0.000
theorem,34.522,31.263,35.918,0.000,0.000
space,31.019,30.938,26.065,0.000,0.000
consider,5.202,5.340,6.239,0.000,0.000
using,6.848,6.754,7.622,0.000,0.000
state,22.625,20.094,58.399,0.000,0.000
may,7.004,7.932,6.821,0.000,0.000
possible,6.921,7.020,7.873,0.000,0.000
different,9.866,10.007,14.535,0.000,0.000
used,5.777,5.563,7.945,0.000,0.000
defined,10.247,10.340,10.484,0.000,0.000
data,23.035,21.298,36.976,0.000,0.000
section,15.141,14.705,28.318,0.000,0.000
every,15.220,15.338,15.571,0.000,0.000
knowledge,26.419,27.877,29.040,0.000,0.000
definition,10.337,10.902,9.874,0.000,0.000
follows,6.774,7.287,7.345,0.000,0.000
general,12.345,12.844,12.451,0.000,0.000
systems,28.690,27.547,40.342,0.000,0.000
respect,30.523,31.283,28.788,0.000,0.000
value,17.133,18.355,19.105,0.000,0.000
algorithm,23.238,23.281,24.374,0.000,0.000
variables,20.549,20.734,22.019,0.000,0.000
results,10.604,10.530,23.974,0.000,0.000
thus,3.893,3.866,3.098,0.000,0.000
paper,4.621,4.218,9.277,0.000,0.000
approach,11.212,11.808,13.279,0.000,0.000
order,22.637,21.694,25.583,0.000,0.000
use,7.377,7.423,7.064,0.000,0.000
rule,25.774,28.465,26.911,0.000,0.000
rules,25.461,27.968,26.323,0.000,0.000
constraint,37.800,37.798,37.394,0.000,0.000
way,6.121,6.164,6.639,0.000,0.000
well,6.242,6.054,7.088,0.000,0.000
form,18.432,19.018,16.845,0.000,0.000
models,10.413,10.839,12.655,0.000,0.000
concept,18.877,18.869,19.115,0.000,0.000
solution,16.467,15.803,15.975,0.000,0.000
proof,23.522,23.537,23.707,0.000,0.000
result,8.239,8.355,8.503,0.000,0.000
values,21.140,19.037,32.434,0.000,0.000
show,9.896,9.217,10.982,0.000,0.000
however,5.514,5.536,6.271,0.000,0.000
constraints,25.977,26.179,26.724,0.000,0.000
functions,21.301,20.285,18.113,0.000,0.000
therefore,10.808,10.873,11.613,0.000,0.000
complexity,20.047,20.024,20.564,0.000,0.000
matrix,29.410,29.477,69.438,0.000,0.000
called,7.615,7.611,8.051,0.000,0.000
elements,45.164,45.716,37.034,0.000,0.000
search,36.986,34.279,31.588,0.000,0.000
representation,17.936,18.126,16.454,0.000,0.000
structure,33.670,35.041,53.741,0.000,0.000
see,10.449,11.057,12.041,0.000,0.000
process,16.209,15.998,13.189,0.000,0.000
program,19.636,19.296,14.133,0.000,0.000
class,17.039,17.046,17.870,0.000,0.000
define,6.529,6.790,6.622,0.000,0.000
would,4.618,4.484,5.981,0.000,0.000
element,21.514,22.110,14.051,0.000,0.000
instance,8.865,9.118,8.866,0.000,0.000
many,21.079,21.829,21.059,0.000,0.000
second,10.454,10.576,9.904,0.000,0.000
considered,7.416,7.339,9.778,0.000,0.000
finite,13.819,13.319,8.512,0.000,0.000
sequence,15.104,15.271,15.786,0.000,0.000
relation,17.937,16.862,15.484,0.000,0.000
must,8.709,8.492,8.547,0.000,0.000
means,4.519,4.394,4.038,0.000,0.000
table,14.491,13.338,41.535,0.000,0.000
solving,35.707,35.621,38.665,0.000,0.000
