word,global,noise-aware,self,top,bot
set,13.458,13.716,14.161,0.000,0.000
one,4.109,3.974,5.671,0.000,0.000
problem,13.862,14.281,24.547,0.000,0.000
let,8.642,9.147,14.438,0.000,0.000
two,6.509,6.633,8.857,0.000,0.000
model,14.856,14.907,20.496,0.000,0.000
case,13.402,13.550,20.279,0.000,0.000
based,11.914,11.425,10.671,0.000,0.000
theory,13.409,13.542,7.897,0.000,0.000
also,3.199,3.162,2.849,0.000,0.000
sets,20.259,20.672,21.417,0.000,0.000
following,4.627,4.558,6.623,0.000,0.000
problems,17.148,17.824,20.488,0.000,0.000
number,18.735,18.683,22.924,0.000,0.000
time,24.624,23.188,48.082,0.000,0.000
example,7.208,7.430,8.851,0.000,0.000
non,13.477,13.766,22.258,0.000,0.000
given,6.164,6.182,6.524,0.000,0.000
information,14.075,14.428,8.146,0.000,0.000
first,5.746,5.738,14.110,0.000,0.000
function,10.598,10.208,19.062,0.000,0.000
probability,27.586,27.122,28.468,0.000,0.000
new,10.976,11.021,8.753,0.000,0.000
system,26.902,26.193,23.824,0.000,0.000
quantum,23.788,22.054,17.133,0.000,0.000
since,6.190,6.516,5.255,0.000,0.000
theorem,7.606,7.106,2.741,0.000,0.000
space,14.787,14.240,29.146,0.000,0.000
consider,3.672,4.139,7.282,0.000,0.000
using,11.136,11.998,9.075,0.000,0.000
state,16.573,15.747,30.037,0.000,0.000
may,5.666,5.903,5.792,0.000,0.000
possible,6.529,6.453,6.626,0.000,0.000
different,3.349,3.497,7.093,0.000,0.000
used,5.400,5.408,5.801,0.000,0.000
defined,6.453,6.930,9.534,0.000,0.000
data,21.155,21.253,19.067,0.000,0.000
section,9.538,9.266,7.454,0.000,0.000
every,11.575,12.353,11.943,0.000,0.000
knowledge,28.579,28.917,26.545,0.000,0.000
definition,7.367,7.736,8.481,0.000,0.000
follows,4.164,4.169,4.757,0.000,0.000
general,10.288,10.023,13.601,0.000,0.000
systems,30.652,28.806,22.707,0.000,0.000
respect,26.987,27.653,38.720,0.000,0.000
value,12.788,12.528,17.349,0.000,0.000
algorithm,22.290,22.168,20.594,0.000,0.000
variables,30.806,27.569,57.468,0.000,0.000
results,6.806,7.850,4.759,0.000,0.000
thus,4.387,4.484,3.261,0.000,0.000
concepts,33.461,33.857,32.988,0.000,0.000
paper,4.215,4.162,3.655,0.000,0.000
approach,5.577,5.956,4.584,0.000,0.000
order,17.815,17.227,29.341,0.000,0.000
use,4.715,4.701,4.511,0.000,0.000
rule,30.937,32.258,31.355,0.000,0.000
reasoning,25.513,25.419,25.624,0.000,0.000
deterministic,33.401,33.961,34.872,0.000,0.000
rules,26.125,26.203,24.623,0.000,0.000
constraint,34.438,35.240,50.500,0.000,0.000
way,2.309,2.685,2.608,0.000,0.000
well,5.698,5.574,7.191,0.000,0.000
form,10.453,10.482,11.372,0.000,0.000
models,8.144,7.703,8.099,0.000,0.000
concept,15.697,15.627,14.531,0.000,0.000
network,33.260,33.403,34.267,0.000,0.000
solution,14.537,14.479,28.754,0.000,0.000
proof,10.175,9.495,10.796,0.000,0.000
result,2.405,2.473,2.862,0.000,0.000
values,6.910,6.746,8.375,0.000,0.000
agent,26.620,26.617,27.266,0.000,0.000
show,5.052,5.325,5.543,0.000,0.000
however,1.896,2.009,2.520,0.000,0.000
constraints,35.567,33.932,57.056,0.000,0.000
