word,global,noise-aware,self,top,bot
field,22.429,24.249,24.049,0.000,0.000
equation,15.072,15.653,19.617,0.000,0.000
equations,27.192,28.640,28.073,0.000,0.000
time,24.624,40.051,44.229,0.000,0.000
energy,23.948,25.330,27.940,0.000,0.000
one,4.109,5.052,3.926,0.000,0.000
classical,20.253,21.612,32.513,0.000,0.000
charge,31.418,31.092,32.258,0.000,0.000
point,14.499,16.515,25.874,0.000,0.000
particle,27.739,28.238,31.697,0.000,0.000
system,26.902,22.256,26.362,0.000,0.000
motion,23.185,23.488,23.458,0.000,0.000
two,6.509,6.848,9.237,0.000,0.000
force,33.404,33.777,33.841,0.000,0.000
case,13.402,12.900,17.426,0.000,0.000
form,10.453,9.589,11.439,0.000,0.000
phys,51.469,52.780,58.095,0.000,0.000
also,3.199,2.817,2.811,0.000,0.000
theory,13.409,12.252,2.717,0.000,0.000
given,6.164,5.935,5.799,0.000,0.000
fields,27.439,28.162,28.423,0.000,0.000
space,14.787,13.201,20.423,0.000,0.000
function,10.598,9.850,18.261,0.000,0.000
vector,17.629,19.659,33.289,0.000,0.000
frame,41.566,43.057,43.671,0.000,0.000
first,5.746,6.386,16.703,0.000,0.000
order,17.815,16.388,28.645,0.000,0.000
terms,13.659,13.169,14.055,0.000,0.000
non,13.477,13.311,19.886,0.000,0.000
tensor,46.134,47.630,45.797,0.000,0.000
zero,20.197,19.469,24.868,0.000,0.000
see,6.797,5.963,7.680,0.000,0.000
constant,7.717,8.068,11.075,0.000,0.000
physics,7.318,6.945,11.289,0.000,0.000
potential,26.553,27.504,29.966,0.000,0.000
theorem,7.606,8.930,49.617,0.000,0.000
mass,24.546,24.018,30.076,0.000,0.000
particles,16.674,17.854,24.404,0.000,0.000
general,10.288,10.591,9.639,0.000,0.000
since,6.190,5.604,5.122,0.000,0.000
using,11.136,10.876,8.821,0.000,0.000
new,10.976,10.231,9.547,0.000,0.000
thus,4.387,4.547,2.478,0.000,0.000
density,26.975,27.419,28.696,0.000,0.000
second,10.863,11.023,17.023,0.000,0.000
term,25.270,22.066,31.320,0.000,0.000
solution,14.537,16.227,17.388,0.000,0.000
let,8.642,8.469,19.525,0.000,0.000
current,34.468,35.990,41.645,0.000,0.000
however,1.896,1.903,2.833,0.000,0.000
problem,13.862,12.838,14.884,0.000,0.000
consider,3.672,3.321,6.790,0.000,0.000
therefore,5.615,5.103,4.460,0.000,0.000
obtain,6.263,5.806,6.524,0.000,0.000
mechanics,20.058,20.061,25.624,0.000,0.000
defined,6.453,5.756,10.194,0.000,0.000
result,2.405,2.625,2.457,0.000,0.000
physical,11.002,9.580,8.127,0.000,0.000
may,5.666,5.657,6.032,0.000,0.000
following,4.627,4.146,6.971,0.000,0.000
obtained,10.358,9.848,8.180,0.000,0.000
law,21.375,22.088,25.298,0.000,0.000
use,4.715,4.670,5.682,0.000,0.000
must,4.182,4.737,6.196,0.000,0.000
different,3.349,4.091,11.341,0.000,0.000
conditions,26.766,25.817,26.584,0.000,0.000
expression,12.192,12.651,13.165,0.000,0.000
moving,20.329,20.696,21.042,0.000,0.000
example,7.208,7.286,10.350,0.000,0.000
external,24.115,23.949,26.093,0.000,0.000
principle,20.269,19.281,20.923,0.000,0.000
quantum,23.788,24.546,46.472,0.000,0.000
transformation,23.768,25.639,21.386,0.000,0.000
well,5.698,5.560,6.666,0.000,0.000
linear,21.038,23.197,19.103,0.000,0.000
used,5.400,5.174,5.438,0.000,0.000
medium,33.854,34.992,34.579,0.000,0.000
model,14.856,15.405,16.299,0.000,0.000
light,28.680,29.482,27.006,0.000,0.000
results,6.806,5.688,4.334,0.000,0.000
coordinates,24.602,26.062,27.139,0.000,0.000
state,16.573,15.583,31.933,0.000,0.000
rest,36.892,36.781,37.320,0.000,0.000
systems,30.652,27.004,15.907,0.000,0.000
total,21.896,21.597,16.043,0.000,0.000
due,8.158,8.539,7.465,0.000,0.000
limit,10.782,10.705,11.267,0.000,0.000
present,4.728,4.595,3.642,0.000,0.000
section,9.538,9.722,13.688,0.000,0.000
condition,13.697,13.952,15.381,0.000,0.000
paper,4.215,4.508,2.356,0.000,0.000
follows,4.164,4.331,5.685,0.000,0.000
part,10.827,10.950,12.607,0.000,0.000
eqs,19.046,19.227,19.801,0.000,0.000
corresponding,4.053,4.413,3.280,0.000,0.000
variables,30.806,57.222,65.032,0.000,0.000
functions,14.070,12.974,17.315,0.000,0.000
approach,5.577,5.932,4.501,0.000,0.000
rev,28.150,28.553,30.353,0.000,0.000
change,12.440,12.917,13.475,0.000,0.000
boundary,28.886,30.273,26.608,0.000,0.000
show,5.052,4.981,4.997,0.000,0.000
would,4.921,5.006,4.719,0.000,0.000
source,18.957,19.375,21.880,0.000,0.000
relation,18.738,17.432,22.708,0.000,0.000
moment,22.055,23.120,23.609,0.000,0.000
dimensional,20.874,19.597,15.720,0.000,0.000
considered,5.732,5.281,7.958,0.000,0.000
interaction,15.533,16.540,22.781,0.000,0.000
special,21.127,23.018,22.012,0.000,0.000
surface,19.443,20.175,19.304,0.000,0.000
particular,2.102,2.275,3.599,0.000,0.000
dynamics,18.961,18.812,19.420,0.000,0.000
value,12.788,12.712,16.438,0.000,0.000
note,3.244,3.128,3.248,0.000,0.000
invariant,21.822,21.546,22.053,0.000,0.000
phase,13.235,13.567,13.059,0.000,0.000
respect,26.987,24.855,30.447,0.000,0.000
components,20.619,21.931,36.299,0.000,0.000
solutions,11.743,12.851,13.042,0.000,0.000
scalar,15.043,15.373,16.049,0.000,0.000
action,14.926,13.317,21.219,0.000,0.000
shown,2.281,1.992,1.712,0.000,0.000
find,2.955,3.144,2.685,0.000,0.000
mechanical,16.658,17.070,21.455,0.000,0.000
independent,7.741,8.376,8.333,0.000,0.000
canonical,16.659,18.404,20.007,0.000,0.000
arbitrary,3.417,3.359,5.582,0.000,0.000
reference,27.796,27.665,26.135,0.000,0.000
free,12.744,10.136,14.482,0.000,0.000
transformations,20.303,20.461,19.995,0.000,0.000
hand,9.810,9.406,13.678,0.000,0.000
analysis,10.419,10.330,10.128,0.000,0.000
known,3.369,2.832,3.133,0.000,0.000
simple,3.322,3.201,3.100,0.000,0.000
found,2.118,2.267,3.692,0.000,0.000
entropy,36.477,32.127,32.719,0.000,0.000
self,17.129,18.829,20.113,0.000,0.000
differential,18.976,18.728,18.628,0.000,0.000
set,13.458,14.606,19.416,0.000,0.000
way,2.309,1.904,1.607,0.000,0.000
fact,2.179,2.327,3.229,0.000,0.000
possible,6.529,6.147,6.767,0.000,0.000
distribution,5.548,5.253,11.412,0.000,0.000
body,13.126,13.745,13.206,0.000,0.000
equilibrium,15.048,15.194,17.564,0.000,0.000
potentials,22.445,22.737,21.956,0.000,0.000
work,4.327,4.438,3.240,0.000,0.000
based,11.914,11.236,8.698,0.000,0.000
plane,26.864,27.657,26.146,0.000,0.000
number,18.735,19.825,22.484,0.000,0.000
three,6.763,6.809,7.921,0.000,0.000
york,20.873,20.350,18.951,0.000,0.000
small,6.663,7.404,5.865,0.000,0.000
written,6.327,6.393,6.221,0.000,0.000
internal,28.055,27.755,28.335,0.000,0.000
ref,12.271,12.528,13.161,0.000,0.000
units,31.947,32.130,33.373,0.000,0.000
speed,19.842,20.714,16.738,0.000,0.000
like,4.119,4.218,11.085,0.000,0.000
finite,15.573,15.314,20.987,0.000,0.000
material,11.948,12.201,12.811,0.000,0.000
gives,5.449,5.273,5.579,0.000,0.000
formula,13.407,11.812,9.428,0.000,0.000
derived,3.218,3.342,3.312,0.000,0.000
equal,4.682,4.846,5.220,0.000,0.000
temperature,18.503,18.247,18.601,0.000,0.000
symmetric,4.741,4.272,7.312,0.000,0.000
parameter,11.878,13.468,13.797,0.000,0.000
