word,global,noise-aware,self,top,bot
one,11.353,11.642,12.339,0.000,0.000
would,18.452,17.990,17.579,0.000,0.000
said,21.174,20.638,18.792,0.000,0.000
could,15.183,14.893,13.803,0.000,0.000
time,10.187,10.322,11.756,0.000,0.000
two,16.240,16.083,20.557,0.000,0.000
like,13.302,13.443,12.335,0.000,0.000
well,12.740,12.403,11.629,0.000,0.000
may,22.491,22.935,24.070,0.000,0.000
also,7.456,7.472,8.075,0.000,0.000
people,17.327,17.441,16.481,0.000,0.000
new,56.163,54.341,68.415,0.000,0.000
first,16.840,16.299,17.501,0.000,0.000
know,17.896,17.403,15.843,0.000,0.000
see,38.107,37.652,34.884,0.000,0.000
back,14.836,15.110,14.094,0.000,0.000
get,22.766,22.634,21.154,0.000,0.000
way,15.274,15.043,14.532,0.000,0.000
made,32.155,32.098,24.987,0.000,0.000
right,18.638,18.546,18.290,0.000,0.000
much,10.831,10.518,11.305,0.000,0.000
work,9.806,9.822,9.872,0.000,0.000
think,16.181,15.782,15.567,0.000,0.000
many,7.316,7.079,9.552,0.000,0.000
even,10.912,11.061,8.667,0.000,0.000
got,24.163,23.994,23.766,0.000,0.000
yeah,46.430,46.461,45.057,0.000,0.000
good,15.770,15.453,17.179,0.000,0.000
three,17.592,17.460,25.116,0.000,0.000
years,29.392,28.561,30.496,0.000,0.000
make,20.502,20.439,18.450,0.000,0.000
last,18.783,18.890,24.024,0.000,0.000
year,21.098,20.407,23.397,0.000,0.000
still,7.444,7.432,7.637,0.000,0.000
must,13.813,13.848,13.094,0.000,0.000
take,29.492,28.795,24.856,0.000,0.000
say,23.469,23.599,21.058,0.000,0.000
come,19.474,19.183,17.459,0.000,0.000
used,15.069,15.274,18.565,0.000,0.000
going,16.457,16.198,14.008,0.000,0.000
little,15.650,15.519,14.552,0.000,0.000
use,14.203,13.520,15.954,0.000,0.000
government,28.701,29.228,38.501,0.000,0.000
day,14.709,14.523,13.727,0.000,0.000
however,4.606,4.581,5.655,0.000,0.000
might,13.783,13.454,13.014,0.000,0.000
another,13.601,13.685,15.943,0.000,0.000
man,16.174,15.804,13.122,0.000,0.000
yes,31.035,31.212,29.254,0.000,0.000
