word,global,noise-aware,self,top,bot
one,11.353,11.153,11.720,0.000,0.000
said,21.174,19.654,26.386,0.000,0.000
would,18.452,17.644,24.750,0.000,0.000
like,13.302,12.753,15.150,0.000,0.000
could,15.183,14.753,25.153,0.000,0.000
new,56.163,56.470,60.511,0.000,0.000
time,10.187,9.829,10.737,0.000,0.000
says,39.152,38.947,39.542,0.000,0.000
two,16.240,16.048,17.047,0.000,0.000
people,17.327,16.441,20.365,0.000,0.000
also,7.456,7.428,7.925,0.000,0.000
first,16.840,16.307,15.522,0.000,0.000
even,10.912,10.856,10.786,0.000,0.000
back,14.836,14.350,13.478,0.000,0.000
years,29.392,28.322,27.740,0.000,0.000
get,22.766,21.808,23.271,0.000,0.000
many,7.316,6.911,9.390,0.000,0.000
way,15.274,14.873,16.526,0.000,0.000
see,38.107,37.237,39.023,0.000,0.000
may,22.491,22.737,22.566,0.000,0.000
know,17.896,16.219,20.471,0.000,0.000
make,20.502,21.072,25.557,0.000,0.000
much,10.831,10.106,14.860,0.000,0.000
work,9.806,9.758,10.431,0.000,0.000
well,12.740,12.143,14.884,0.000,0.000
year,21.098,20.612,19.851,0.000,0.000
still,7.444,7.364,8.749,0.000,0.000
good,15.770,15.013,19.099,0.000,0.000
last,18.783,17.745,26.528,0.000,0.000
made,32.155,33.076,33.714,0.000,0.000
world,19.764,19.916,21.470,0.000,0.000
day,14.709,14.319,14.866,0.000,0.000
right,18.638,17.933,19.443,0.000,0.000
three,17.592,17.175,16.769,0.000,0.000
life,11.807,11.807,11.634,0.000,0.000
think,16.181,14.945,20.070,0.000,0.000
around,23.597,23.065,22.905,0.000,0.000
say,23.469,22.508,25.079,0.000,0.000
school,49.490,48.667,43.036,0.000,0.000
little,15.650,15.363,18.497,0.000,0.000
another,13.601,12.949,14.978,0.000,0.000
take,29.492,28.775,37.666,0.000,0.000
never,17.123,16.827,20.692,0.000,0.000
state,66.654,66.866,71.520,0.000,0.000
going,16.457,15.733,17.034,0.000,0.000
man,16.174,16.242,16.667,0.000,0.000
long,21.772,21.407,23.233,0.000,0.000
want,20.596,19.395,21.895,0.000,0.000
home,14.764,14.556,16.206,0.000,0.000
use,14.203,13.910,18.816,0.000,0.000
students,49.827,49.251,47.310,0.000,0.000
come,19.474,18.861,18.647,0.000,0.000
children,15.444,15.445,19.964,0.000,0.000
got,24.163,22.896,25.458,0.000,0.000
something,16.019,14.996,20.781,0.000,0.000
might,13.783,13.622,17.760,0.000,0.000
women,16.197,16.384,21.881,0.000,0.000
used,15.069,15.072,19.287,0.000,0.000
since,19.343,18.993,20.125,0.000,0.000
need,12.124,11.706,15.371,0.000,0.000
look,15.658,15.049,15.688,0.000,0.000
every,16.578,16.171,20.256,0.000,0.000
